playerId,season,name,team,position,situation,games_played,icetime,xGoals,goals,unblocked_shot_attempts,xRebounds,rebounds,xFreeze,freeze,xOnGoal,ongoal,xPlayStopped,playStopped,xPlayContinuedInZone,playContinuedInZone,xPlayContinuedOutsideZone,playContinuedOutsideZone,flurryAdjustedxGoals,lowDangerShots,mediumDangerShots,highDangerShots,lowDangerxGoals,mediumDangerxGoals,highDangerxGoals,lowDangerGoals,mediumDangerGoals,highDangerGoals,blocked_shot_attempts,penalityMinutes,penalties
8476999,2025,Linus Ullmark,OTT,G,all,4,15985.0,15.66,9.0,303.0,10.89,25.0,41.51,32.0,166.3,133.0,4.39,1.0,87.64,82.0,64.54,77.0,14.43,169.0,38.0,19.0,5.04,4.7,5.91,4.0,4.0,1.0,77.0,0.0,0.0
8476999,2025,Linus Ullmark,OTT,G,5on5,4,12464.0,11.23,7.0,241.0,8.23,20.0,34.19,23.0,128.34,100.0,3.68,0.0,68.62,71.0,49.2,54.0,10.51,138.0,23.0,15.0,4.24,2.74,4.24,4.0,3.0,0.0,65.0,0.0,0.0
8476999,2025,Linus Ullmark,OTT,G,4on5,4,1331.0,1.88,2.0,37.0,1.58,3.0,3.93,4.0,18.63,16.0,0.04,0.0,11.27,8.0,5.73,8.0,1.71,18.0,6.0,1.0,0.36,0.75,0.76,0.0,1.0,1.0,12.0,0.0,0.0
8476999,2025,Linus Ullmark,OTT,G,5on4,4,1636.0,1.22,0.0,14.0,0.49,1.0,1.36,1.0,10.9,9.0,0.57,1.0,3.25,1.0,7.37,11.0,1.17,9.0,3.0,2.0,0.32,0.38,0.52,0.0,0.0,0.0,0.0,0.0,0.0
8477465,2025,Tristan Jarry,EDM,G,other,1,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8477465,2025,Tristan Jarry,EDM,G,all,1,3749.0,3.49,4.0,70.0,2.32,3.0,9.85,14.0,37.28,38.0,0.83,0.0,20.0,14.0,14.07,15.0,3.4,38.0,9.0,4.0,1.22,1.09,1.19,1.0,2.0,1.0,19.0,0.0,0.0
8477465,2025,Tristan Jarry,EDM,G,5on5,1,3244.0,2.56,2.0,57.0,1.69,3.0,8.14,12.0,28.52,29.0,0.75,0.0,14.69,11.0,10.94,11.0,2.49,31.0,4.0,4.0,0.87,0.51,1.19,1.0,0.0,1.0,18.0,0.0,0.0
8477465,2025,Tristan Jarry,EDM,G,4on5,1,426.0,0.92,2.0,12.0,0.6,0.0,1.59,2.0,7.98,8.0,0.03,0.0,5.06,3.0,2.58,4.0,0.9,6.0,5.0,0.0,0.34,0.58,0.0,0.0,2.0,0.0,1.0,0.0,0.0
8477465,2025,Tristan Jarry,EDM,G,5on4,1,60.0,0.01,0.0,1.0,0.03,0.0,0.12,0.0,0.79,1.0,0.06,0.0,0.26,0.0,0.55,0.0,0.01,1.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8476914,2025,Joonas Korpisalo,BOS,G,other,1,120.0,0.08,0.0,1.0,0.05,0.0,0.14,1.0,0.7,1.0,0.02,0.0,0.34,0.0,0.37,0.0,0.08,1.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8476914,2025,Joonas Korpisalo,BOS,G,all,1,799.0,1.39,0.0,10.0,0.43,0.0,1.15,3.0,6.39,6.0,0.32,0.0,3.35,4.0,2.48,2.0,1.28,5.0,1.0,3.0,0.25,0.09,1.04,0.0,0.0,0.0,1.0,0.0,0.0
8476914,2025,Joonas Korpisalo,BOS,G,5on5,1,484.0,0.27,0.0,5.0,0.24,0.0,0.73,0.0,3.61,2.0,0.21,0.0,2.01,4.0,1.64,1.0,0.27,4.0,1.0,0.0,0.17,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8476914,2025,Joonas Korpisalo,BOS,G,4on5,1,195.0,1.04,0.0,4.0,0.14,0.0,0.28,2.0,2.07,3.0,0.09,0.0,0.99,0.0,0.47,1.0,0.94,0.0,0.0,3.0,0.0,0.0,1.04,0.0,0.0,0.0,1.0,0.0,0.0
8476914,2025,Joonas Korpisalo,BOS,G,5on4,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8476341,2025,Anton Forsberg,LAK,G,other,4,477.0,0.37,0.0,12.0,0.28,0.0,1.1,2.0,5.14,4.0,0.03,0.0,2.61,2.0,2.48,3.0,0.37,6.0,1.0,0.0,0.27,0.11,0.0,0.0,0.0,0.0,5.0,0.0,0.0
8476341,2025,Anton Forsberg,LAK,G,all,4,14652.0,11.95,11.0,278.0,8.98,12.0,35.68,24.0,139.63,121.0,3.93,0.0,74.15,84.0,56.6,60.0,11.57,151.0,30.0,11.0,4.54,3.64,3.77,5.0,2.0,4.0,86.0,0.0,0.0
8476341,2025,Anton Forsberg,LAK,G,5on5,4,11858.0,8.75,9.0,234.0,7.37,10.0,31.25,21.0,115.5,97.0,3.12,0.0,62.66,73.0,46.12,46.0,8.5,131.0,21.0,8.0,3.78,2.62,2.35,4.0,2.0,3.0,74.0,0.0,0.0
8476341,2025,Anton Forsberg,LAK,G,4on5,4,940.0,2.56,1.0,24.0,1.13,2.0,2.32,1.0,13.1,14.0,0.13,0.0,7.06,7.0,3.47,6.0,2.48,6.0,8.0,3.0,0.23,0.91,1.41,0.0,0.0,1.0,7.0,0.0,0.0
8476341,2025,Anton Forsberg,LAK,G,5on4,4,1377.0,0.26,1.0,8.0,0.2,0.0,1.0,0.0,5.9,6.0,0.66,0.0,1.82,2.0,4.54,5.0,0.22,8.0,0.0,0.0,0.26,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
8480280,2025,Jeremy Swayman,BOS,G,other,6,510.0,1.43,1.0,27.0,1.22,2.0,2.69,3.0,12.56,12.0,0.05,0.0,7.73,7.0,3.51,4.0,1.39,12.0,3.0,2.0,0.45,0.37,0.61,0.0,0.0,1.0,10.0,0.0,0.0
8480280,2025,Jeremy Swayman,BOS,G,all,6,21040.0,16.32,17.0,390.0,15.9,23.0,51.98,58.0,210.69,181.0,5.24,1.0,116.65,111.0,79.16,77.0,15.61,219.0,58.0,10.0,6.29,7.3,2.74,9.0,5.0,3.0,103.0,0.0,0.0
8480280,2025,Jeremy Swayman,BOS,G,5on5,6,16357.0,11.08,15.0,279.0,9.84,14.0,38.25,43.0,146.96,123.0,4.15,0.0,80.53,74.0,57.35,55.0,10.69,159.0,36.0,7.0,4.68,4.57,1.83,9.0,4.0,2.0,77.0,0.0,0.0
8480280,2025,Jeremy Swayman,BOS,G,4on5,6,2561.0,3.42,1.0,77.0,4.55,7.0,10.32,12.0,45.66,41.0,0.13,0.0,26.69,27.0,14.57,14.0,3.14,43.0,17.0,1.0,1.04,2.08,0.3,0.0,1.0,0.0,16.0,0.0,0.0
8480280,2025,Jeremy Swayman,BOS,G,5on4,6,1612.0,0.4,0.0,7.0,0.28,0.0,0.73,0.0,5.51,5.0,0.92,1.0,1.71,3.0,3.73,4.0,0.39,5.0,2.0,0.0,0.13,0.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8480045,2025,Ukko-Pekka Luukkonen,BUF,G,other,4,608.0,0.46,1.0,13.0,0.38,0.0,0.88,0.0,3.65,3.0,0.2,0.0,2.71,4.0,1.38,1.0,0.46,5.0,0.0,1.0,0.14,0.0,0.32,0.0,0.0,1.0,7.0,0.0,0.0
8480045,2025,Ukko-Pekka Luukkonen,BUF,G,all,4,12009.0,11.76,14.0,210.0,7.45,14.0,26.89,19.0,107.75,93.0,3.63,1.0,55.96,56.0,39.2,41.0,11.25,94.0,37.0,14.0,2.56,4.76,4.43,3.0,5.0,6.0,65.0,0.0,0.0
8480045,2025,Ukko-Pekka Luukkonen,BUF,G,5on5,4,9108.0,8.01,10.0,157.0,5.31,11.0,21.63,15.0,81.97,70.0,2.86,1.0,41.14,42.0,30.08,30.0,7.56,73.0,28.0,8.0,2.07,3.68,2.26,3.0,5.0,2.0,48.0,0.0,0.0
8480045,2025,Ukko-Pekka Luukkonen,BUF,G,4on5,4,1200.0,3.06,3.0,37.0,1.69,3.0,4.07,4.0,19.91,17.0,0.08,0.0,11.35,10.0,6.17,7.0,3.0,14.0,8.0,5.0,0.28,0.93,1.85,0.0,0.0,3.0,10.0,0.0,0.0
8480045,2025,Ukko-Pekka Luukkonen,BUF,G,5on4,4,1093.0,0.22,0.0,3.0,0.08,0.0,0.31,0.0,2.22,3.0,0.48,0.0,0.76,0.0,1.57,3.0,0.22,2.0,1.0,0.0,0.07,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8478435,2025,Dan Vladar,PHI,G,other,10,1684.0,2.59,3.0,29.0,1.01,1.0,3.87,1.0,17.45,17.0,0.46,0.0,8.15,9.0,6.8,9.0,2.22,14.0,5.0,4.0,0.46,0.66,1.47,0.0,1.0,2.0,6.0,0.0,0.0
8478435,2025,Dan Vladar,PHI,G,all,10,38000.0,31.52,23.0,671.0,24.0,41.0,90.39,53.0,356.37,294.0,8.4,0.0,191.63,195.0,139.11,177.0,29.8,384.0,70.0,35.0,10.82,9.18,11.52,8.0,7.0,8.0,182.0,2.0,1.0
8478435,2025,Dan Vladar,PHI,G,5on5,10,28848.0,20.55,14.0,514.0,17.19,31.0,71.66,43.0,270.12,222.0,6.28,0.0,146.14,149.0,107.05,135.0,19.83,301.0,53.0,18.0,8.56,6.98,5.01,7.0,5.0,2.0,142.0,2.0,1.0
8478435,2025,Dan Vladar,PHI,G,4on5,10,4110.0,6.72,5.0,111.0,5.1,7.0,12.95,9.0,57.21,44.0,0.47,0.0,33.88,36.0,18.38,22.0,6.52,60.0,10.0,9.0,1.55,1.32,3.85,1.0,0.0,4.0,32.0,0.0,0.0
8478435,2025,Dan Vladar,PHI,G,5on4,10,3358.0,1.66,1.0,17.0,0.71,2.0,1.91,0.0,11.59,11.0,1.2,0.0,3.45,1.0,6.87,11.0,1.23,9.0,2.0,4.0,0.25,0.22,1.2,0.0,1.0,0.0,2.0,0.0,0.0
8478406,2025,Mackenzie Blackwood,COL,G,other,3,244.0,1.21,1.0,8.0,0.45,3.0,1.42,1.0,6.28,3.0,0.06,0.0,3.34,1.0,1.37,2.0,1.09,4.0,1.0,3.0,0.16,0.16,0.89,0.0,0.0,1.0,0.0,0.0,0.0
8478406,2025,Mackenzie Blackwood,COL,G,all,3,6747.0,5.68,6.0,101.0,4.53,8.0,14.54,8.0,60.51,47.0,2.43,0.0,32.15,31.0,22.09,28.0,5.32,62.0,11.0,8.0,1.96,1.19,2.52,3.0,2.0,1.0,20.0,0.0,0.0
8478406,2025,Mackenzie Blackwood,COL,G,5on5,3,5682.0,3.74,4.0,76.0,3.01,4.0,10.34,3.0,42.37,34.0,2.15,0.0,22.02,27.0,16.49,19.0,3.52,46.0,6.0,5.0,1.44,0.67,1.63,2.0,2.0,0.0,19.0,0.0,0.0
8478406,2025,Mackenzie Blackwood,COL,G,4on5,3,639.0,0.73,1.0,17.0,1.08,1.0,2.78,4.0,11.86,10.0,0.01,0.0,6.79,3.0,4.24,7.0,0.71,12.0,4.0,0.0,0.37,0.36,0.0,1.0,0.0,0.0,1.0,0.0,0.0
8478406,2025,Mackenzie Blackwood,COL,G,5on4,3,182.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8482661,2025,Jesper Wallstedt,MIN,G,other,10,1360.0,3.74,2.0,39.0,1.63,5.0,3.78,2.0,20.56,17.0,0.37,0.0,13.85,17.0,5.2,3.0,2.88,17.0,7.0,5.0,0.77,1.0,1.97,1.0,1.0,0.0,10.0,0.0,0.0
8482661,2025,Jesper Wallstedt,MIN,G,all,10,39055.0,34.4,30.0,702.0,25.37,45.0,90.03,84.0,367.19,329.0,10.47,1.0,204.87,185.0,139.69,163.0,32.29,388.0,83.0,36.0,10.88,10.24,13.29,15.0,5.0,10.0,195.0,0.0,0.0
8482661,2025,Jesper Wallstedt,MIN,G,5on5,10,31291.0,22.52,16.0,565.0,18.18,30.0,75.68,69.0,290.63,252.0,7.89,0.0,161.74,147.0,116.85,143.0,21.72,323.0,62.0,20.0,8.94,7.66,5.92,12.0,3.0,1.0,160.0,0.0,0.0
8482661,2025,Jesper Wallstedt,MIN,G,4on5,10,2634.0,7.99,12.0,90.0,5.46,10.0,10.14,13.0,52.33,56.0,0.23,0.0,28.04,21.0,14.64,12.0,7.53,43.0,14.0,11.0,1.02,1.58,5.4,2.0,1.0,9.0,22.0,0.0,0.0
8482661,2025,Jesper Wallstedt,MIN,G,5on4,10,3770.0,0.16,0.0,8.0,0.1,0.0,0.42,0.0,3.68,4.0,1.97,1.0,1.23,0.0,2.99,5.0,0.16,5.0,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0
8475883,2025,Frederik Andersen,CAR,G,other,8,1889.0,1.62,2.0,40.0,1.33,1.0,3.84,4.0,17.16,20.0,0.67,1.0,11.34,11.0,6.07,7.0,1.57,16.0,8.0,1.0,0.38,0.94,0.29,0.0,2.0,0.0,15.0,0.0,0.0
8475883,2025,Frederik Andersen,CAR,G,all,8,32250.0,21.22,10.0,422.0,15.34,27.0,58.0,24.0,231.55,201.0,10.79,1.0,119.77,123.0,85.72,123.0,20.27,226.0,56.0,26.0,6.68,7.22,7.32,2.0,6.0,2.0,114.0,2.0,1.0
8475883,2025,Frederik Andersen,CAR,G,5on5,8,23554.0,15.75,6.0,323.0,11.21,23.0,46.3,15.0,178.22,148.0,8.0,0.0,90.63,94.0,66.12,98.0,14.96,179.0,36.0,21.0,5.22,4.8,5.74,2.0,3.0,1.0,87.0,2.0,1.0
