team,season,name,team,position,situation,games_played,xGoalsPercentage,corsiPercentage,fenwickPercentage,iceTime,xOnGoalFor,xGoalsFor,xReboundsFor,xFreezeFor,xPlayStoppedFor,xPlayContinuedInZoneFor,xPlayContinuedOutsideZoneFor,flurryAdjustedxGoalsFor,scoreVenueAdjustedxGoalsFor,flurryScoreVenueAdjustedxGoalsFor,shotsOnGoalFor,missedShotsFor,blockedShotAttemptsFor,shotAttemptsFor,goalsFor,reboundsFor,reboundGoalsFor,freezeFor,playStoppedFor,playContinuedInZoneFor,playContinuedOutsideZoneFor,savedShotsOnGoalFor,savedUnblockedShotAttemptsFor,penaltiesFor,penalityMinutesFor,faceOffsWonFor,hitsFor,takeawaysFor,giveawaysFor,lowDangerShotsFor,mediumDangerShotsFor,highDangerShotsFor,lowDangerxGoalsFor,mediumDangerxGoalsFor,highDangerxGoalsFor,lowDangerGoalsFor,mediumDangerGoalsFor,highDangerGoalsFor,scoreAdjustedShotsAttemptsFor,unblockedShotAttemptsFor,scoreAdjustedUnblockedShotAttemptsFor,dZoneGiveawaysFor,xGoalsFromxReboundsOfShotsFor,xGoalsFromActualReboundsOfShotsFor,reboundxGoalsFor,totalShotCreditFor,scoreAdjustedTotalShotCreditFor,scoreFlurryAdjustedTotalShotCreditFor,xOnGoalAgainst,xGoalsAgainst,xReboundsAgainst,xFreezeAgainst,xPlayStoppedAgainst,xPlayContinuedInZoneAgainst,xPlayContinuedOutsideZoneAgainst,flurryAdjustedxGoalsAgainst,scoreVenueAdjustedxGoalsAgainst,flurryScoreVenueAdjustedxGoalsAgainst,shotsOnGoalAgainst,missedShotsAgainst,blockedShotAttemptsAgainst,shotAttemptsAgainst,goalsAgainst,reboundsAgainst,reboundGoalsAgainst,freezeAgainst,playStoppedAgainst,playContinuedInZoneAgainst,playContinuedOutsideZoneAgainst,savedShotsOnGoalAgainst,savedUnblockedShotAttemptsAgainst,penaltiesAgainst,penalityMinutesAgainst,faceOffsWonAgainst,hitsAgainst,takeawaysAgainst,giveawaysAgainst,lowDangerShotsAgainst,mediumDangerShotsAgainst,highDangerShotsAgainst,lowDangerxGoalsAgainst,mediumDangerxGoalsAgainst,highDangerxGoalsAgainst,lowDangerGoalsAgainst,mediumDangerGoalsAgainst,highDangerGoalsAgainst,scoreAdjustedShotsAttemptsAgainst,unblockedShotAttemptsAgainst,scoreAdjustedUnblockedShotAttemptsAgainst,dZoneGiveawaysAgainst,xGoalsFromxReboundsOfShotsAgainst,xGoalsFromActualReboundsOfShotsAgainst,reboundxGoalsAgainst,totalShotCreditAgainst,scoreAdjustedTotalShotCreditAgainst,scoreFlurryAdjustedTotalShotCreditAgainst
PIT,2025,PIT,PIT,Team Level,5on4,6,0.72,0.79,0.77,1927.0,29.47,3.85,2.62,6.48,1.06,17.71,9.27,3.7,3.85,3.7,21.0,20.0,11.0,52.0,3.0,6.0,0.0,4.0,0.0,17.0,11.0,18.0,38.0,1.0,2.0,19.0,2.0,0.0,5.0,30.0,4.0,7.0,0.65,0.49,2.71,0.0,0.0,3.0,52.0,41.0,41.0,0.0,0.69,0.37,0.37,4.17,4.17,4.03,9.87,1.52,0.48,1.4,0.29,2.62,5.7,1.4,1.52,1.4,11.0,1.0,2.0,14.0,1.0,1.0,0.0,3.0,0.0,0.0,7.0,10.0,11.0,0.0,0.0,18.0,2.0,2.0,3.0,7.0,2.0,3.0,0.21,0.32,0.99,0.0,1.0,0.0,14.0,12.0,12.0,3.0,0.11,0.52,0.52,1.12,1.12,1.12
UTA,2025,UTA,UTA,Team Level,other,6,0.48,0.63,0.58,1230.0,10.2,1.67,0.69,1.99,0.35,5.77,3.55,1.64,1.67,1.64,9.0,5.0,16.0,30.0,0.0,0.0,0.0,0.0,0.0,6.0,8.0,9.0,14.0,1.0,2.0,12.0,4.0,0.0,4.0,11.0,2.0,1.0,0.59,0.24,0.83,0.0,0.0,0.0,30.0,14.0,14.0,2.0,0.21,0.0,0.0,1.87,1.87,1.84,7.29,1.81,0.51,1.46,0.24,3.98,2.0,1.72,1.81,1.72,7.0,3.0,8.0,18.0,3.0,2.0,1.0,1.0,0.0,3.0,1.0,4.0,7.0,1.0,2.0,4.0,5.0,2.0,6.0,4.0,3.0,3.0,0.11,0.33,1.37,0.0,0.0,3.0,18.0,10.0,10.0,3.0,0.13,0.45,0.45,1.49,1.49,1.44
UTA,2025,UTA,UTA,Team Level,all,6,0.45,0.48,0.48,24276.0,198.13,16.45,13.23,49.76,6.95,110.17,77.43,15.74,16.6,15.87,167.0,107.0,105.0,379.0,18.0,22.0,3.0,35.0,1.0,102.0,96.0,149.0,256.0,26.0,52.0,195.0,250.0,31.0,123.0,218.0,42.0,14.0,6.42,5.1,4.93,11.0,5.0,2.0,379.91,274.0,274.45,61.0,2.98,4.1,4.1,15.33,15.35,15.12,216.34,20.16,15.06,53.8,7.63,116.53,83.82,19.0,20.35,19.19,184.0,113.0,117.0,414.0,23.0,25.0,6.0,54.0,0.0,105.0,90.0,161.0,274.0,24.0,50.0,217.0,241.0,27.0,104.0,225.0,51.0,21.0,6.27,5.86,8.03,8.0,4.0,11.0,413.96,297.0,299.19,52.0,3.31,4.15,4.15,19.32,19.44,18.65
UTA,2025,UTA,UTA,Team Level,5on5,6,0.47,0.47,0.47,19090.0,157.21,11.89,9.62,40.96,5.55,85.93,64.05,11.46,12.04,11.59,129.0,89.0,76.0,294.0,17.0,18.0,3.0,25.0,1.0,81.0,76.0,112.0,201.0,23.0,46.0,156.0,241.0,28.0,105.0,172.0,36.0,10.0,4.87,4.31,2.72,10.0,5.0,2.0,294.91,218.0,218.45,54.0,1.99,3.45,3.45,10.44,10.46,10.31,175.04,13.15,11.54,45.01,6.08,95.13,70.09,12.72,13.34,12.9,144.0,97.0,92.0,333.0,14.0,17.0,4.0,49.0,0.0,88.0,73.0,130.0,227.0,22.0,46.0,179.0,229.0,20.0,88.0,189.0,42.0,10.0,5.32,4.91,2.92,6.0,3.0,5.0,332.96,241.0,243.19,43.0,2.4,2.77,2.77,12.79,12.9,12.7
UTA,2025,UTA,UTA,Team Level,4on5,6,0.0,0.0,0.0,2072.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,11.0,3.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,28.48,4.19,2.63,6.4,1.1,15.34,8.33,3.59,4.19,3.59,25.0,13.0,15.0,53.0,4.0,6.0,1.0,3.0,0.0,12.0,13.0,21.0,34.0,1.0,2.0,15.0,2.0,4.0,5.0,26.0,6.0,6.0,0.67,0.63,2.89,1.0,1.0,2.0,53.0,38.0,38.0,1.0,0.69,0.93,0.93,3.95,3.95,3.45
UTA,2025,UTA,UTA,Team Level,5on4,6,0.74,0.85,0.84,1884.0,30.72,2.89,2.92,6.82,1.05,18.48,9.84,2.64,2.89,2.64,29.0,13.0,13.0,55.0,1.0,4.0,0.0,10.0,0.0,15.0,12.0,28.0,41.0,1.0,2.0,16.0,2.0,2.0,12.0,35.0,4.0,3.0,0.97,0.54,1.38,1.0,0.0,0.0,55.0,42.0,42.0,3.0,0.78,0.65,0.65,3.02,3.02,2.97,5.53,1.01,0.38,0.93,0.21,2.08,3.4,0.98,1.01,0.98,8.0,0.0,2.0,10.0,2.0,0.0,0.0,1.0,0.0,2.0,3.0,6.0,6.0,0.0,0.0,19.0,5.0,1.0,5.0,6.0,0.0,2.0,0.17,0.0,0.84,1.0,0.0,1.0,10.0,8.0,8.0,5.0,0.08,0.0,0.0,1.1,1.1,1.06
COL,2025,COL,COL,Team Level,other,9,0.63,0.58,0.56,1485.0,21.67,7.76,1.26,3.3,0.71,10.79,6.18,6.07,7.76,6.07,19.0,11.0,12.0,42.0,7.0,4.0,0.0,3.0,0.0,12.0,4.0,12.0,23.0,1.0,2.0,19.0,6.0,1.0,6.0,13.0,4.0,13.0,0.51,0.53,6.73,1.0,0.0,6.0,42.0,30.0,30.0,4.0,0.37,1.67,1.67,6.46,6.46,5.41,17.83,4.53,1.41,3.35,0.62,9.52,4.57,3.92,4.53,3.92,15.0,9.0,6.0,30.0,6.0,3.0,1.0,3.0,0.0,9.0,3.0,9.0,18.0,0.0,0.0,9.0,8.0,0.0,3.0,10.0,7.0,7.0,0.51,0.99,3.03,1.0,2.0,3.0,30.0,24.0,24.0,1.0,0.41,0.89,0.89,4.05,4.05,3.53
COL,2025,COL,COL,Team Level,all,9,0.59,0.55,0.55,33096.0,335.92,36.14,22.44,83.08,11.3,181.96,129.09,33.34,36.13,33.32,293.0,171.0,180.0,644.0,37.0,38.0,6.0,59.0,1.0,185.0,144.0,256.0,427.0,35.0,70.0,291.0,252.0,46.0,133.0,343.0,77.0,44.0,10.07,9.25,16.82,17.0,6.0,14.0,645.57,464.0,466.0,71.0,5.01,10.36,10.36,30.8,30.77,29.13,277.96,25.41,19.84,69.98,9.61,144.56,105.6,23.88,25.29,23.78,235.0,140.0,148.0,523.0,23.0,32.0,1.0,61.0,1.0,133.0,125.0,212.0,352.0,33.0,66.0,276.0,308.0,35.0,123.0,281.0,60.0,34.0,7.02,7.45,10.94,7.0,9.0,7.0,521.76,375.0,373.08,55.0,4.58,5.31,5.35,24.63,24.57,23.44
COL,2025,COL,COL,Team Level,5on5,9,0.57,0.57,0.57,26873.0,266.91,21.35,17.07,70.64,9.03,147.56,106.35,20.65,21.34,20.63,228.0,144.0,153.0,525.0,23.0,24.0,3.0,53.0,1.0,154.0,117.0,205.0,349.0,28.0,58.0,231.0,238.0,36.0,117.0,297.0,52.0,23.0,8.48,6.32,6.55,15.0,4.0,4.0,526.57,372.0,374.0,61.0,3.56,6.04,6.04,18.88,18.85,18.48,204.73,15.89,13.25,53.01,6.98,105.83,82.05,15.31,15.78,15.21,169.0,108.0,127.0,404.0,13.0,21.0,0.0,45.0,1.0,99.0,98.0,156.0,264.0,32.0,64.0,218.0,292.0,27.0,112.0,215.0,42.0,20.0,5.36,5.14,5.4,5.0,6.0,2.0,402.76,277.0,275.08,52.0,2.78,3.89,3.94,14.73,14.66,14.43
COL,2025,COL,COL,Team Level,4on5,9,0.07,0.13,0.14,2689.0,7.4,0.34,0.27,1.18,0.22,2.34,5.65,0.3,0.34,0.3,8.0,2.0,2.0,12.0,1.0,0.0,0.0,0.0,0.0,2.0,7.0,7.0,9.0,1.0,2.0,22.0,5.0,8.0,5.0,10.0,0.0,0.0,0.34,0.0,0.0,1.0,0.0,0.0,12.0,10.0,10.0,5.0,0.06,0.0,0.0,0.4,0.4,0.36,48.51,4.33,4.78,12.27,1.69,26.55,14.38,3.99,4.33,3.99,42.0,22.0,15.0,79.0,3.0,8.0,0.0,13.0,0.0,21.0,19.0,39.0,61.0,1.0,2.0,31.0,3.0,4.0,5.0,48.0,10.0,6.0,1.01,1.12,2.2,1.0,1.0,1.0,79.0,64.0,64.0,0.0,1.29,0.52,0.52,5.1,5.1,4.72
COL,2025,COL,COL,Team Level,5on4,9,0.91,0.87,0.84,2049.0,39.96,6.69,3.84,7.96,1.34,21.27,10.9,6.32,6.69,6.32,38.0,14.0,13.0,65.0,6.0,10.0,3.0,3.0,0.0,17.0,16.0,32.0,46.0,5.0,8.0,19.0,3.0,1.0,5.0,23.0,21.0,8.0,0.74,2.4,3.55,0.0,2.0,4.0,65.0,52.0,52.0,1.0,1.02,2.65,2.65,5.06,5.06,4.88,6.89,0.66,0.41,1.34,0.32,2.67,4.61,0.66,0.66,0.66,9.0,1.0,0.0,10.0,1.0,0.0,0.0,0.0,0.0,4.0,5.0,8.0,9.0,0.0,0.0,18.0,5.0,4.0,3.0,8.0,1.0,1.0,0.14,0.2,0.32,0.0,0.0,1.0,10.0,10.0,10.0,2.0,0.1,0.0,0.0,0.75,0.75,0.75
EDM,2025,EDM,EDM,Team Level,other,6,0.15,0.43,0.39,975.0,5.11,0.65,0.35,0.99,0.17,3.01,1.81,0.61,0.65,0.61,3.0,4.0,5.0,12.0,0.0,0.0,0.0,2.0,0.0,1.0,4.0,3.0,7.0,1.0,2.0,7.0,4.0,0.0,6.0,3.0,4.0,0.0,0.13,0.53,0.0,0.0,0.0,0.0,12.0,7.0,7.0,3.0,0.11,0.0,0.0,0.76,0.76,0.71,7.72,3.68,0.52,1.0,0.25,3.33,2.21,3.6,3.68,3.6,5.0,6.0,5.0,16.0,3.0,1.0,0.0,0.0,0.0,2.0,5.0,2.0,8.0,0.0,0.0,8.0,5.0,0.0,3.0,3.0,1.0,7.0,0.17,0.17,3.34,0.0,0.0,3.0,16.0,11.0,11.0,2.0,0.17,0.37,0.37,3.48,3.48,3.45
EDM,2025,EDM,EDM,Team Level,all,6,0.44,0.46,0.45,21749.0,179.69,17.18,11.74,43.5,5.97,93.45,71.16,16.41,17.27,16.49,170.0,73.0,84.0,327.0,21.0,17.0,5.0,44.0,0.0,73.0,88.0,149.0,222.0,19.0,41.0,196.0,212.0,31.0,101.0,175.0,49.0,19.0,4.84,6.07,6.27,6.0,8.0,7.0,326.2,243.0,242.55,43.0,2.59,3.74,3.74,16.04,16.11,15.75,211.71,22.0,13.8,52.56,7.47,113.59,82.57,21.27,21.95,21.21,194.0,98.0,93.0,385.0,26.0,27.0,6.0,53.0,2.0,81.0,103.0,168.0,266.0,17.0,37.0,183.0,210.0,24.0,91.0,217.0,47.0,28.0,6.25,5.47,10.28,5.0,8.0,13.0,382.08,292.0,291.78,44.0,3.05,5.78,5.78,19.28,19.27,18.97
EDM,2025,EDM,EDM,Team Level,5on5,6,0.48,0.47,0.46,18165.0,147.28,11.85,8.85,37.15,4.89,76.71,60.54,11.46,11.94,11.54,142.0,58.0,78.0,278.0,17.0,12.0,5.0,38.0,0.0,62.0,71.0,125.0,183.0,16.0,35.0,161.0,207.0,29.0,90.0,155.0,32.0,13.0,4.05,3.97,3.83,6.0,7.0,4.0,277.2,200.0,199.55,38.0,1.83,2.87,2.87,10.82,10.89,10.75,170.82,12.63,10.7,44.98,6.12,92.55,70.02,12.28,12.57,12.22,154.0,83.0,81.0,318.0,14.0,20.0,4.0,45.0,1.0,69.0,88.0,140.0,223.0,16.0,35.0,150.0,203.0,23.0,79.0,189.0,36.0,12.0,5.27,4.16,3.19,5.0,5.0,4.0,315.08,237.0,236.78,41.0,2.22,3.41,3.41,11.44,11.43,11.29
EDM,2025,EDM,EDM,Team Level,4on5,6,0.07,0.09,0.11,1309.0,3.98,0.42,0.28,0.73,0.11,1.13,2.32,0.42,0.42,0.42,5.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,5.0,5.0,0.0,0.0,11.0,0.0,2.0,1.0,3.0,2.0,0.0,0.11,0.32,0.0,0.0,0.0,0.0,5.0,5.0,5.0,1.0,0.07,0.0,0.0,0.49,0.49,0.49,30.93,5.45,2.46,6.29,1.02,16.97,8.81,5.14,5.45,5.14,32.0,9.0,7.0,48.0,8.0,6.0,2.0,8.0,0.0,10.0,9.0,24.0,33.0,1.0,2.0,15.0,1.0,0.0,7.0,23.0,10.0,8.0,0.77,1.14,3.54,0.0,3.0,5.0,48.0,41.0,41.0,0.0,0.63,2.0,2.0,4.09,4.09,3.95
EDM,2025,EDM,EDM,Team Level,5on4,6,0.95,0.91,0.91,1300.0,23.32,4.25,2.26,4.63,0.79,12.59,6.49,3.91,4.25,3.91,20.0,11.0,1.0,32.0,4.0,5.0,0.0,4.0,0.0,9.0,9.0,16.0,27.0,2.0,4.0,17.0,1.0,0.0,4.0,14.0,11.0,6.0,0.56,1.25,2.44,0.0,1.0,3.0,32.0,31.0,31.0,1.0,0.58,0.87,0.87,3.97,3.97,3.8,2.23,0.25,0.12,0.29,0.08,0.74,1.53,0.25,0.25,0.25,3.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,2.0,0.0,0.0,10.0,1.0,1.0,2.0,2.0,0.0,1.0,0.03,0.0,0.21,0.0,0.0,1.0,3.0,3.0,3.0,1.0,0.02,0.0,0.0,0.27,0.27,0.27
CAR,2025,CAR,CAR,Team Level,other,8,0.81,0.44,0.52,1937.0,19.43,6.77,1.08,3.76,0.67,8.68,6.04,6.35,6.77,6.35,15.0,12.0,5.0,32.0,3.0,2.0,0.0,5.0,1.0,9.0,7.0,12.0,24.0,1.0,2.0,22.0,5.0,2.0,7.0,8.0,8.0,11.0,0.26,1.1,5.41,0.0,0.0,3.0,32.0,27.0,27.0,6.0,0.33,0.57,0.57,6.53,6.53,6.25,17.16,1.62,1.33,3.84,0.79,11.34,6.07,1.57,1.62,1.57,20.0,5.0,15.0,40.0,2.0,1.0,0.0,4.0,0.0,11.0,7.0,18.0,23.0,1.0,2.0,24.0,18.0,2.0,8.0,16.0,8.0,1.0,0.38,0.94,0.29,0.0,2.0,0.0,40.0,25.0,25.0,2.0,0.38,0.01,0.01,1.99,1.99,1.91
CAR,2025,CAR,CAR,Team Level,all,8,0.62,0.59,0.59,32298.0,323.42,34.62,21.26,79.67,10.99,167.74,124.71,32.4,34.9,32.68,271.0,168.0,160.0,599.0,24.0,40.0,2.0,53.0,2.0,172.0,148.0,247.0,415.0,50.0,103.0,240.0,295.0,40.0,140.0,321.0,75.0,43.0,9.49,9.58,15.54,9.0,9.0,6.0,608.86,439.0,445.3,58.0,4.77,8.07,8.07,31.32,31.61,30.71,231.55,21.22,15.34,58.0,7.95,119.77,85.72,20.27,21.19,20.24,201.0,107.0,114.0,422.0,10.0,27.0,0.0,24.0,1.0,123.0,123.0,191.0,298.0,51.0,103.0,275.0,345.0,40.0,148.0,226.0,56.0,26.0,6.68,7.22,7.32,2.0,6.0,2.0,417.29,308.0,305.59,64.0,3.46,5.73,5.73,18.95,18.97,18.64
CAR,2025,CAR,CAR,Team Level,5on5,8,0.56,0.58,0.58,23554.0,238.28,20.38,15.06,62.78,8.2,125.92,91.66,19.28,20.65,19.57,199.0,125.0,120.0,444.0,16.0,31.0,1.0,38.0,1.0,134.0,104.0,183.0,308.0,41.0,85.0,163.0,271.0,31.0,108.0,250.0,51.0,23.0,7.47,6.38,6.52,8.0,7.0,1.0,453.86,324.0,330.3,40.0,3.15,5.85,5.85,17.66,17.95,17.59,178.22,15.75,11.21,46.3,5.98,90.63,66.12,14.96,15.73,14.93,148.0,88.0,87.0,323.0,6.0,23.0,0.0,15.0,0.0,94.0,98.0,142.0,230.0,40.0,81.0,183.0,305.0,27.0,122.0,179.0,36.0,21.0,5.22,4.8,5.74,2.0,3.0,1.0,318.29,236.0,233.59,57.0,2.35,5.06,5.06,13.05,13.07,12.88
CAR,2025,CAR,CAR,Team Level,4on5,8,0.48,0.36,0.4,3293.0,19.34,2.73,1.05,2.74,0.59,5.71,12.18,2.24,2.73,2.24,18.0,7.0,2.0,27.0,1.0,3.0,0.0,1.0,0.0,2.0,18.0,17.0,24.0,5.0,10.0,26.0,13.0,6.0,12.0,15.0,4.0,6.0,0.5,0.51,1.72,0.0,1.0,0.0,27.0,25.0,25.0,12.0,0.25,0.67,0.67,2.31,2.31,2.16,28.03,2.92,2.44,6.52,0.95,15.73,8.44,2.84,2.92,2.84,23.0,14.0,10.0,47.0,2.0,2.0,0.0,5.0,1.0,15.0,12.0,21.0,35.0,5.0,10.0,36.0,12.0,2.0,13.0,25.0,10.0,2.0,0.9,1.25,0.78,0.0,1.0,1.0,47.0,37.0,37.0,0.0,0.65,0.42,0.42,3.15,3.15,3.1
CAR,2025,CAR,CAR,Team Level,5on4,8,0.84,0.89,0.86,3514.0,46.37,4.75,4.06,10.39,1.53,27.43,14.84,4.52,4.75,4.52,39.0,24.0,33.0,96.0,4.0,4.0,1.0,9.0,0.0,27.0,19.0,35.0,59.0,3.0,6.0,29.0,6.0,1.0,13.0,48.0,12.0,3.0,1.27,1.58,1.9,1.0,1.0,2.0,96.0,63.0,63.0,0.0,1.05,0.98,0.98,4.82,4.82,4.71,8.15,0.93,0.35,1.33,0.23,2.07,5.09,0.9,0.93,0.9,10.0,0.0,2.0,12.0,0.0,1.0,0.0,0.0,0.0,3.0,6.0,10.0,10.0,5.0,10.0,32.0,10.0,9.0,5.0,6.0,2.0,2.0,0.17,0.24,0.51,0.0,0.0,0.0,12.0,10.0,10.0,5.0,0.08,0.25,0.25,0.75,0.75,0.75
VGK,2025,VGK,VGK,Team Level,other,12,0.53,0.3,0.28,2286.0,11.69,4.52,0.77,1.92,0.36,5.33,3.1,4.31,4.52,4.31,11.0,5.0,13.0,29.0,6.0,2.0,1.0,1.0,0.0,5.0,2.0,5.0,10.0,1.0,2.0,11.0,7.0,3.0,10.0,5.0,3.0,8.0,0.12,0.33,4.07,0.0,0.0,6.0,29.0,16.0,16.0,6.0,0.21,0.45,0.45,4.29,4.29,4.11,29.56,3.99,2.17,6.15,1.05,19.16,8.48,3.72,3.99,3.72,25.0,16.0,27.0,68.0,1.0,2.0,0.0,1.0,0.0,25.0,12.0,24.0,40.0,2.0,4.0,25.0,9.0,1.0,6.0,29.0,9.0,3.0,1.38,1.0,1.61,0.0,0.0,1.0,68.0,41.0,41.0,3.0,0.62,0.28,0.28,4.33,4.33,4.02
VGK,2025,VGK,VGK,Team Level,all,12,0.54,0.48,0.48,46126.0,390.87,40.77,27.01,95.23,13.7,204.95,149.34,38.56,41.41,39.14,330.0,201.0,185.0,716.0,44.0,47.0,10.0,77.0,1.0,188.0,174.0,286.0,487.0,47.0,101.0,398.0,409.0,61.0,210.0,378.0,102.0,51.0,10.46,12.0,18.31,11.0,13.0,20.0,726.48,531.0,540.13,108.0,6.0,9.42,9.42,37.34,37.81,36.43,413.5,34.7,27.7,104.9,14.28,228.73,157.7,33.07,34.62,33.0,353.0,215.0,217.0,785.0,31.0,48.0,7.0,71.0,1.0,221.0,196.0,322.0,537.0,44.0,88.0,343.0,469.0,57.0,206.0,445.0,87.0,36.0,12.97,10.25,11.47,15.0,9.0,7.0,776.4,568.0,562.81,99.0,6.23,9.57,9.57,31.36,31.27,30.57
VGK,2025,VGK,VGK,Team Level,5on5,12,0.51,0.49,0.49,36327.0,311.53,25.76,20.31,79.58,10.89,164.57,122.88,24.62,26.4,25.21,256.0,168.0,143.0,567.0,25.0,33.0,6.0,66.0,0.0,152.0,148.0,231.0,399.0,43.0,91.0,317.0,389.0,43.0,182.0,315.0,82.0,27.0,8.68,9.78,7.29,7.0,10.0,8.0,577.48,424.0,433.13,92.0,4.24,5.95,5.95,24.04,24.51,24.03,319.92,25.09,19.93,84.49,11.11,170.59,126.79,24.17,25.01,24.09,269.0,169.0,157.0,595.0,25.0,38.0,5.0,54.0,1.0,160.0,160.0,244.0,413.0,39.0,78.0,260.0,453.0,49.0,181.0,344.0,67.0,27.0,9.54,7.99,7.56,12.0,8.0,5.0,586.4,438.0,432.81,90.0,4.14,7.98,7.98,21.25,21.17,20.92
VGK,2025,VGK,VGK,Team Level,4on5,12,0.2,0.14,0.15,4031.0,10.55,1.41,0.59,1.62,0.36,3.73,7.3,1.38,1.41,1.38,12.0,3.0,4.0,19.0,4.0,0.0,0.0,3.0,0.0,3.0,5.0,8.0,11.0,2.0,6.0,42.0,10.0,8.0,9.0,11.0,2.0,2.0,0.31,0.26,0.84,2.0,1.0,1.0,19.0,15.0,15.0,9.0,0.13,0.0,0.0,1.54,1.54,1.5,60.51,5.52,5.47,13.81,2.01,37.74,19.45,5.08,5.52,5.08,55.0,29.0,31.0,115.0,5.0,8.0,2.0,16.0,0.0,35.0,20.0,50.0,79.0,1.0,2.0,33.0,4.0,4.0,16.0,67.0,11.0,6.0,1.95,1.26,2.31,3.0,1.0,1.0,115.0,84.0,84.0,3.0,1.44,1.31,1.31,5.64,5.64,5.49
VGK,2025,VGK,VGK,Team Level,5on4,12,0.99,0.94,0.94,3482.0,57.09,9.08,5.35,12.11,2.08,31.32,16.06,8.25,9.08,8.25,51.0,25.0,25.0,101.0,9.0,12.0,3.0,7.0,1.0,28.0,19.0,42.0,67.0,1.0,2.0,28.0,3.0,7.0,9.0,47.0,15.0,14.0,1.35,1.63,6.09,2.0,2.0,5.0,101.0,76.0,76.0,1.0,1.42,3.02,3.02,7.47,7.47,6.78,3.51,0.1,0.13,0.45,0.1,1.24,2.98,0.1,0.1,0.1,4.0,1.0,2.0,7.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,4.0,5.0,2.0,4.0,25.0,3.0,3.0,3.0,5.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,7.0,5.0,5.0,3.0,0.03,0.0,0.0,0.13,0.13,0.13
TBL,2025,TBL,TBL,Team Level,other,7,0.67,0.66,0.67,1360.0,16.42,1.83,1.29,3.52,0.62,10.05,4.69,1.65,1.83,1.65,19.0,3.0,11.0,33.0,1.0,3.0,0.0,1.0,0.0,13.0,4.0,18.0,21.0,0.0,0.0,16.0,2.0,1.0,2.0,15.0,6.0,1.0,0.59,0.81,0.43,0.0,1.0,0.0,33.0,22.0,22.0,0.0,0.37,0.57,0.57,1.63,1.63,1.47,8.11,0.89,0.49,1.76,0.27,4.41,3.19,0.86,0.89,0.86,4.0,7.0,6.0,17.0,0.0,0.0,0.0,1.0,1.0,5.0,4.0,4.0,11.0,0.0,0.0,11.0,4.0,1.0,2.0,6.0,5.0,0.0,0.26,0.63,0.0,0.0,0.0,0.0,17.0,11.0,11.0,1.0,0.12,0.0,0.0,1.02,1.02,0.98
TBL,2025,TBL,TBL,Team Level,all,7,0.51,0.56,0.56,26722.0,227.8,19.42,15.23,57.21,8.01,129.64,84.5,18.67,19.36,18.62,196.0,118.0,134.0,448.0,15.0,21.0,2.0,46.0,1.0,144.0,87.0,181.0,299.0,40.0,85.0,175.0,228.0,39.0,95.0,245.0,53.0,16.0,7.43,6.42,5.57,7.0,5.0,3.0,443.54,314.0,310.79,44.0,3.5,2.53,2.53,20.38,20.26,19.66,182.4,18.93,12.34,42.81,6.14,96.42,70.37,18.16,19.09,18.32,156.0,91.0,108.0,355.0,16.0,16.0,1.0,30.0,1.0,80.0,104.0,140.0,231.0,44.0,93.0,219.0,300.0,36.0,101.0,173.0,53.0,21.0,5.35,6.57,7.0,5.0,4.0,7.0,359.69,247.0,250.06,48.0,2.8,3.2,3.2,18.52,18.61,18.1
TBL,2025,TBL,TBL,Team Level,5on5,7,0.53,0.55,0.55,19949.0,157.56,11.9,9.53,41.89,5.52,86.57,62.59,11.54,11.84,11.48,137.0,81.0,99.0,317.0,9.0,12.0,2.0,37.0,0.0,90.0,70.0,128.0,209.0,33.0,71.0,120.0,215.0,30.0,83.0,172.0,36.0,10.0,5.19,4.27,2.44,6.0,2.0,1.0,312.54,218.0,214.79,41.0,1.97,1.86,1.86,12.01,11.89,11.7,130.55,10.56,7.92,32.52,4.35,68.83,52.82,10.4,10.72,10.56,111.0,66.0,82.0,259.0,11.0,11.0,1.0,19.0,0.0,57.0,79.0,100.0,166.0,41.0,85.0,148.0,286.0,30.0,81.0,134.0,35.0,8.0,4.06,4.37,2.13,5.0,4.0,2.0,263.69,177.0,180.06,40.0,1.64,2.16,2.16,10.05,10.13,10.06
